"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"aesm_service","0","218","2203444260864","16056320","3678208","15048","C:\WINDOWS\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_d372a4ea3b959b1c\aesm_service.exe","C:\WINDOWS\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_d372a4ea3b959b1c\aesm_service.exe","System.Diagnostics.Process (services)","Intel Corporation","0.375","2.21.100.3","2.21.100.3","Intel® SGX Application Enclave Services Manager","Intel Software Guard Extensions","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3548","8",,"False","12/02/2024 09:44:53",,"2136",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15048","15048","3678208","3678208","180096","180096","6283264","6283264","19644416","19644416","2203461476352","143253504","True","Normal","3678208","3678208","255","0",,"System.Diagnostics.ProcessThreadCollection","218","2203444260864","126038016","False",,,,"16056320","16056320",,"System.Diagnostics.ProcessModule (aesm_service.exe)","00:00:00.1875000","00:00:00.3750000","00:00:00.1875000","aesm_service","0","","True",,
"ApplicationFrameHost","1","344","2203594297344","31342592","10506240","21480","C:\WINDOWS\system32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding","System.Diagnostics.Process (svchost)","Microsoft Corporation","1.640625","10.0.19041.3636 (WinBuild.160101.0800)","10.0.19041.3636","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3664","8",,"False","12/02/2024 09:43:43",,"13900",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","21480","21480","10506240","10506240","358176","358176","23343104","23343104","38330368","38330368","2203605422080","287199232","True","Normal","10506240","10506240","255","1",,"System.Diagnostics.ProcessThreadCollection","344","2203594297344","276074496","False",,,,"31342592","31342592",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:01.1406250","00:00:01.6406250","00:00:00.5000000","ApplicationFrameHost","592034","Settings","True",,
"audiodg","0","245","2203611910144","20533248","175755264","18864","C:\WINDOWS\system32\AUDIODG.EXE","C:\WINDOWS\system32\AUDIODG.EXE 0x5fc","System.Diagnostics.Process (svchost)","Microsoft Corporation","367.75","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Windows Audio Device Graph Isolation ","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1168","8",,"False","12/02/2024 11:01:34",,"14884",".","14102528","12894208","System.Diagnostics.ProcessModuleCollection","18864","18864","175755264","175755264","476624","476624","187981824","187981824","34275328","34275328","2203626913792","308690944","True","Normal","175755264","175755264","255","0",,"System.Diagnostics.ProcessThreadCollection","245","2203611910144","293687296","False",,,,"20533248","20533248",,"System.Diagnostics.ProcessModule (AUDIODG.EXE)","00:05:49.7031250","00:06:07.7500000","00:00:18.0468750","audiodg","0","","True",,
"CcmExec","0","834","2203507372032","29855744","8904704","36224","C:\WINDOWS\CCM\CcmExec.exe","C:\WINDOWS\CCM\CcmExec.exe","System.Diagnostics.Process (services)","Microsoft Corporation","8.53125","5.00.9096.1000","5.00.9096.1000","Host Process for Microsoft Configuration Manager","Endpoint Configuration Manager","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4056","8",,"False","12/02/2024 09:42:57",,"8428",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36224","36224","8904704","8904704","310520","310520","9084928","9084928","32116736","32116736","2203590586368","272363520","True","Normal","8904704","8904704","255","0",,"System.Diagnostics.ProcessThreadCollection","834","2203507372032","189149184","False",,,,"29855744","29855744",,"System.Diagnostics.ProcessModule (CcmExec.exe)","00:00:03.4687500","00:00:08.5312500","00:00:05.0625000","CcmExec","0","","True",,
"ccSvcHst","0","3034","358539264","96206848","61706240","126568","C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\Bin\ccSvcHst.exe","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\Bin\ccSvcHst.exe"" /s ""Symantec Endpoint Protection"" /m ""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\Bin\sms.dll"" /prefetch:1","System.Diagnostics.Process (services)","Broadcom","273.234375","17.2.5.4","17.2.5.4","Symantec Service Framework","Symantec Security Technologies","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1496","8",,"False","12/02/2024 09:42:52",,"4532",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","126568","126568","61706240","61706240","535048","535048","113774592","113774592","159518720","159518720","505991168","505991168","True","Normal","61706240","61706240","255","0",,"System.Diagnostics.ProcessThreadCollection","3034","358539264","358539264","False",,,,"96206848","96206848",,"System.Diagnostics.ProcessModule (ccSvcHst.exe)","00:01:50.0937500","00:04:33.2343750","00:02:43.1406250","ccSvcHst","0","","True",,
"ccSvcHst","0","532","5107036160","143822848","399106048","33904","C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\bin64\ccSvcHst.exe","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\bin64\ccSvcHst.exe"" /c /s ""SepScanService"" /prefetch:2","System.Diagnostics.Process (services)","Broadcom","436.671875","17.2.5.4","17.2.5.4","Symantec Service Framework","Symantec Security Technologies","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3900","8",,"False","12/02/2024 09:42:52",,"4916",".","209715200","1048576","System.Diagnostics.ProcessModuleCollection","33904","33904","399106048","399106048","208080","208080","421212160","421212160","336535552","336535552","5115654144","820686848","True","Normal","399106048","399106048","255","0",,"System.Diagnostics.ProcessThreadCollection","532","5107036160","812068864","False",,,,"143822848","143822848",,"System.Diagnostics.ProcessModule (ccSvcHst.exe)","00:01:33.6718750","00:07:16.6718750","00:05:43","ccSvcHst","0","","True",,
"ccSvcHst","1","503","139169792","7245824","7516160","36088","C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\Bin\ccSvcHst.exe","""C:\Program Files (x86)\Symantec\Symantec Endpoint Protection\14.3.1169.0100.105\Bin\ccSvcHst.exe"" /u /c /a /s ""UserSession""","System.Diagnostics.Process (ccSvcHst)","Broadcom","10.75","17.2.5.4","17.2.5.4","Symantec Service Framework","Symantec Security Technologies","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3436","8",,"False","12/02/2024 09:42:57",,"7740",".","3145728","1048576","System.Diagnostics.ProcessModuleCollection","36088","36088","7516160","7516160","282088","282088","7729152","7729152","24047616","24047616","142508032","142508032","True","Normal","7516160","7516160","255","1",,"System.Diagnostics.ProcessThreadCollection","503","139169792","139169792","False",,,,"7245824","7245824",,"System.Diagnostics.ProcessModule (ccSvcHst.exe)","00:00:06.2656250","00:00:10.7500000","00:00:04.4843750","ccSvcHst","0","","True",,
"chrome","1","248","3486733225984","33185792","26370048","19128","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=399 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=93250157620 --mojo-platform-channel-handle=15084 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.078125","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1480","4",,"False","13/02/2024 11:36:47",,"1248",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19128","19128","26370048","26370048","710648","710648","26632192","26632192","33349632","33349632","3487954137088","440692736","True","Idle","26370048","26370048","255","1",,"System.Diagnostics.ProcessThreadCollection","248","3486733225984","-780218368","False",,,,"33185792","33185792",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0781250","00:00:00.0312500","chrome","0","","True",,
"chrome","1","400","3486831153152","54542336","34725888","23008","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=216 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=84250112540 --mojo-platform-channel-handle=6264 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","1.546875","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3688","4",,"False","13/02/2024 09:06:47",,"3544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23008","23008","34725888","34725888","678456","678456","38866944","38866944","72052736","72052736","3486839541760","-673902592","True","Idle","34725888","34725888","255","1",,"System.Diagnostics.ProcessThreadCollection","400","3486831153152","-682291200","False",,,,"54542336","54542336",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.2187500","00:00:01.5468750","00:00:01.3281250","chrome","0","","True",,
"chrome","1","507","3486877470720","889765888","894586880","32864","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --no-appcompat-clear --lang=da --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=19 --time-ticks-at-unix-epoch=-1707727357015823 --launch-time-ticks=12475891237 --mojo-platform-channel-handle=6988 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","914.125","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3476","4",,"False","12/02/2024 13:10:32",,"5140",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","32864","32864","894586880","894586880","711576","711576","905744384","905744384","900653056","900653056","3489173929984","1660485632","True","Idle","894586880","894586880","255","1",,"System.Diagnostics.ProcessThreadCollection","507","3486877470720","-635973632","False",,,,"889765888","889765888",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:53.9218750","00:15:14.1250000","00:14:20.2031250","chrome","0","","True",,
"chrome","1","361","2306948812800","47480832","28946432","22544","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=da --service-sandbox-type=none --no-appcompat-clear --mojo-platform-channel-handle=2292 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","118.953125","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3432","8",,"False","12/02/2024 13:10:23",,"5624",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22544","22544","28946432","28946432","697048","697048","35631104","35631104","54763520","54763520","2307018285056","620847104","True","Normal","28946432","28946432","255","1",,"System.Diagnostics.ProcessThreadCollection","361","2306948812800","551374848","False",,,,"47480832","47480832",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:43.4062500","00:01:58.9531250","00:01:15.5468750","chrome","0","","True",,
"chrome","1","1048","2307537412096","170921984","206061568","35200","C:\Program Files (x86)\Google\Chrome\Application\chrome.exe","""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=gpu-process --no-appcompat-clear --gpu-preferences=WAAAAAAAAADgAAAMAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --mojo-platform-channel-handle=1932 --field-trial-handle=1936,i,16889701583037576944,4296606388733394171,262144 --variations-seed-version=20240211-180109.886000 /prefetch:2","System.Diagnostics.Process (chrome)","Google LLC","652.21875","121.0.6167.161","121.0.6167.161","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1068","10",,"False","12/02/2024 13:10:23",,"6376",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","35200","35200","206061568","206061568","1241104","1241104","353107968","353107968","362831872","362831872","2307612962816","1215524864","True","AboveNormal","206061568","206061568","255","1",,"System.Diagnostics.ProcessThreadCollection","1048","2307537412096","1139974144","False",,,,"170921984","170921984",,"System.Diagnostics.ProcessModule (chrome.exe)","00:02:51.2812500","00:10:52.2187500","00:08:00.9375000","chrome","0","","True",,
